episode,robot_pos,target_pos,step
251,"[235.05060114807094, 486.90617220539707, 272.0]","[228, 494]",455
252,"[236.81617347226356, 104.4007915242432, 48.0]","[238, 94]",1125
253,"[94.31535756505552, 323.08430131255784, 42.0]","[94, 313]",622
254,"[408.28723966685936, 399.427012772269, 184.0]","[415, 407]",239
255,"[572.4280045438402, 257.79130115629954, 230.0]","[571, 268]",466
256,"[503.5331211241694, 390.0590770125622, 330.0]","[494, 387]",620
257,"[369.0765769611952, 351.78073117498514, 324.0]","[359, 350]",1007
258,"[618.7522846941664, 194.9340585688455, 182.0]","[626, 202]",588
259,"[521.1739500352535, 94.228754854329, 106.0]","[530, 89]",766
260,"[133.71136652948982, 291.8791811218511, 358.0]","[126, 285]",868
261,"[257.1169032290054, 80.94854498375169, 54.0]","[259, 71]",1326
262,"[321.2159743120449, 538.1480593738887, 286.0]","[312, 543]",1046
263,"[218.97690677877543, 214.247314242442, 36.0]","[218, 204]",539
264,"[530.6769856730957, 529.1589182398515, 188.0]","[537, 537]",817
265,"[258.16433686938194, 80.91452778747073, 104.0]","[267, 76]",141
266,"[483.9721344893961, 381.46858774118954, 188.0]","[490, 390]",661
267,"[410.24010781446344, 63.22305976642757, 0.0]","[403, 56]",687
268,"[564.2432932715776, 145.47774761425492, 152.0]","[574, 149]",1193
269,"[574.5615707722777, 62.04604235435772, 148.0]","[584, 66]",75
270,"[610.4915782574034, 389.31460246134174, 294.0]","[601, 393]",678
271,"[568.1070735398988, 479.6913862209013, 278.0]","[560, 486]",316
272,"[392.20014715203325, 470.8071641864771, 314.0]","[382, 471]",474
273,"[605.7458245934889, 423.7043440481107, 282.0]","[597, 429]",750
274,"[667.5227259030863, 192.78997658455938, 176.0]","[675, 200]",1231
275,"[689.031927229651, 488.80612058450896, 198.0]","[693, 498]",1442
276,"[668.8357011316315, 369.1856066402463, 44.0]","[669, 359]",63
277,"[645.6906890005663, 136.65071487395895, 162.0]","[655, 141]",838
278,"[270.7767153810587, 184.06515172575106, 188.0]","[277, 192]",277
279,"[701.7289525774464, 162.76724098315233, 122.0]","[712, 161]",100
280,"[107.29399379604988, 356.4060958127947, 342.0]","[98, 352]",898
281,"[251.95731651253095, 418.4626358677914, 328.0]","[242, 416]",607
282,"[176.0091223215049, 395.9986635504528, 12.0]","[171, 387]",1183
283,"[206.19208201852814, 488.47042438406396, 286.0]","[197, 493]",724
284,"[729.5702008271919, 205.09511417576184, 184.0]","[736, 213]",1379
285,"[121.86080658990313, 360.44456004474085, 334.0]","[112, 357]",326
286,"[569.8569526533889, 344.2111999313056, 284.0]","[561, 349]",673
287,"[406.01503006192456, 90.58120475283631, 144.0]","[416, 92]",775
288,"[728.6638136337837, 151.86088425815706, 188.0]","[735, 160]",633
289,"[729.3805403698825, 281.24922472578186, 176.0]","[737, 288]",1101
290,"[619.9084844224245, 375.31045564005336, 6.0]","[614, 367]",112
291,"[725.997491322508, 319.76795084473923, 186.0]","[732, 328]",1110
292,"[683.8654255932671, 228.6382090654971, 282.0]","[675, 234]",414
293,"[121.72293291289193, 306.7213027620689, 22.0]","[118, 297]",970
294,"[564.7511520240274, 425.9750141534738, 286.0]","[556, 431]",618
295,"[685.7748281251319, 146.3667782213651, 194.0]","[691, 155]",1490
296,"[510.57350939723113, 205.11088061674934, 20.0]","[506, 196]",529
297,"[125.1741883864717, 530.9539909166041, 350.0]","[117, 525]",1400
298,"[214.8443072260885, 59.72947426571436, 60.0]","[218, 50]",1319
299,"[508.2043616489087, 432.85926346899373, 280.0]","[500, 439]",117
300,"[383.70986419308485, 150.6717869075766, 26.0]","[380, 141]",322
301,"[259.1066110298043, 542.092475830593, 324.0]","[249, 540]",963
302,"[440.30316755175585, 198.421626458361, 48.0]","[441, 188]",637
303,"[611.8710226047439, 181.86370174178273, 198.0]","[616, 191]",776
304,"[495.30661501342513, 458.12848401540845, 178.0]","[503, 465]",710
305,"[341.2943207921711, 257.3106996483556, 308.0]","[331, 258]",549
306,"[118.92485305865209, 483.72030354622126, 274.0]","[111, 490]",880
307,"[638.4905396872335, 153.89698429488237, 196.0]","[643, 163]",759
308,"[611.8100655359179, 269.9195715232874, 168.0]","[620, 276]",1085
309,"[228.249293405617, 148.43962959365123, 46.0]","[229, 138]",1316
310,"[81.85806266671914, 316.2950981322235, 350.0]","[74, 310]",1234
311,"[295.1735783211942, 401.9115890211719, 58.0]","[297, 392]",316
312,"[720.7755060747048, 387.9572172751046, 194.0]","[726, 397]",1486
313,"[632.9190278891946, 88.33761456438499, 124.0]","[643, 86]",353
314,"[554.9589576242569, 291.0359173904986, 296.0]","[545, 294]",439
315,"[725.6882421997375, 467.6591275792318, 180.0]","[733, 475]",1149
316,"[335.65856790897675, 198.01198278949948, 94.0]","[343, 191]",792
317,"[471.55330964294825, 505.72667219442707, 282.0]","[463, 511]",864
318,"[178.78514548350012, 435.65281201129613, 256.0]","[173, 444]",675
319,"[85.00710911304141, 86.08352326743906, 42.0]","[85, 76]",850
320,"[359.38722257610493, 71.97588358268915, 8.0]","[353, 64]",811
321,"[224.18942803107393, 366.0101036095728, 234.0]","[222, 376]",666
322,"[114.03567629935809, 163.34212066552456, 8.0]","[108, 155]",1219
323,"[288.74945116741156, 462.37719004397354, 256.0]","[283, 471]",1003
324,"[359.9083807686227, 536.670094781585, 294.0]","[350, 540]",558
325,"[379.9794482935028, 513.8910932928591, 318.0]","[370, 513]",892
326,"[621.370394897733, 317.2375525644391, 238.0]","[619, 327]",750
327,"[400.33059216100327, 485.3372499778112, 184.0]","[407, 493]",737
328,"[515.513991742648, 276.75994471342, 32.0]","[513, 267]",527
329,"[728.3281635492573, 427.36406181257456, 194.0]","[734, 436]",1322
330,"[211.52292562955392, 192.49563169094654, 78.0]","[217, 184]",296
331,"[158.3135175362361, 416.98489438693423, 240.0]","[156, 427]",263
332,"[458.10738484856154, 61.916939346834276, 148.0]","[468, 64]",1073
333,"[626.2515965432134, 520.9430327364589, 290.0]","[617, 525]",446
334,"[423.69522103449583, 53.42703391015354, 126.0]","[434, 52]",1242
335,"[655.138655072276, 335.34114887760035, 202.0]","[659, 345]",752
336,"[710.704917753003, 512.8378556816976, 228.0]","[710, 523]",1319
337,"[198.1882902904605, 294.17807374033504, 352.0]","[190, 288]",199
338,"[89.96044463502734, 110.67716434885388, 62.0]","[93, 101]",1278
339,"[416.9936106193923, 294.94856553596605, 300.0]","[407, 297]",325
340,"[706.3720280461733, 428.58872964133025, 202.0]","[710, 438]",1180
341,"[653.1064516765343, 521.4206411539678, 202.0]","[657, 531]",1220
342,"[219.36342552094996, 540.5946493175861, 348.0]","[211, 535]",1101
343,"[543.1716175315853, 524.3334587074672, 202.0]","[547, 534]",1122
344,"[182.9381526043201, 488.6630226334735, 160.0]","[192, 493]",199
345,"[271.24682436612943, 484.05552571533326, 320.0]","[261, 483]",1109
